timestamp,temperature,relative_humidity,
1,21.0171,18.6093,
62,21.0443,18.1244,
122,21.0207,18.8195,
182,20.9833,18.3309,
242,21.0007,17.9575,
302,21.0014,18.1786,
363,21.0354,18.1171,
423,21.0171,18.084,
483,21.0001,18.5296,
543,20.9909,18.6204,
603,21.0035,18.3434,
663,21.0543,18.4091,
724,21.0041,18.7553,
784,20.9215,18.2233,
844,20.9059,18.929,
904,20.894,18.2657,
964,20.9211,18.0063,
1025,20.9122,18.0305,
1085,20.8765,18.256,
1145,20.8778,18.0362,
1205,20.8463,18.1503,
1265,20.8668,18.1722,
1325,20.8595,18.2297,
1386,20.8649,18.3548,
1446,20.8927,18.2189,
1506,20.9242,18.7432,
1566,20.8895,18.6163,
1626,20.8301,18.0043,
1687,20.7464,18.7008,
1747,20.7916,17.971,
1807,20.8033,17.7484,
1867,20.7932,17.7682,
1927,20.7449,17.8074,
1987,20.7105,18.4121,
2048,20.6869,18.6902,
2108,20.6942,17.9806,
2168,20.7264,18.2334,
2228,20.7685,18.1149,
2288,20.8034,18.6568,
2349,20.8172,18.1962,
2409,20.7987,18.2069,
2469,20.7914,18.7552,
2529,20.8219,18.4709,
2589,20.8202,17.7918,
2650,20.7701,17.8064,
2710,20.7906,18.1857,
2770,20.7828,18.2708,
2830,20.7981,18.1461,
2890,20.8172,18.1603,
2950,20.8199,17.9122,
3011,20.8347,17.86,
3071,20.8532,18.1436,
3131,20.8065,17.9101,
3191,20.8303,18.3408,
3251,20.799,18.2948,
3312,20.7973,18.3972,
3372,20.7447,18.6524,
3432,20.7554,18.6215,
3492,20.7872,17.971,
3552,20.7977,18.1767,
3612,20.7901,18.1664,
3673,20.8168,17.9655,
3733,20.7823,18.4835,
3793,20.7966,18.5344,
3853,20.7971,17.676,
3913,20.8257,18.7908,
3974,20.8006,17.8457,
4034,20.8097,17.7505,
4094,20.7216,18.247,
4154,20.7064,17.9432,
4214,20.6531,18.6658,
4275,20.6438,18.3895,
4335,20.6075,18.3208,
4395,20.6078,17.9457,
4455,20.6087,17.9476,
4515,20.5896,17.8491,
4575,20.5706,17.846,
4636,20.5894,17.6229,
4696,20.6171,17.691,
4756,20.6337,17.7355,
4816,20.5841,17.6038,
4876,20.5757,17.7845,
4937,20.5885,17.7743,
4997,20.6068,17.7457,
5057,20.5864,18.1283,
5117,20.5723,18.1845,
5177,20.5549,18.3276,
5237,20.5816,18.361,
5298,20.5654,18.411,
5358,20.5578,18.2505,
5418,20.6158,18.0956,
5478,20.6215,18.4046,
5538,20.6184,17.7856,
5599,20.6314,17.8154,
5659,20.6556,18.002,
5719,20.6293,17.9696,
5779,20.6201,17.7864,
5839,20.6131,17.9715,
5899,20.6041,17.6659,
5960,20.5498,17.5009,
6020,20.5683,17.8483,
6080,20.5273,17.9246,
6140,20.5385,18.3355,
6200,20.508,18.1779,
6261,20.5229,18.4552,
6321,20.4895,18.4486,
6381,20.4744,18.2056,
6441,20.4956,18.3568,
6501,20.499,18.4334,
6562,20.4615,18.1248,
6622,20.5194,17.7167,
6682,20.5555,17.7476,
6742,20.6205,17.7058,
6802,20.6301,17.777,
6862,20.6339,17.6032,
6923,20.6558,17.4229,
6983,20.6388,17.2467,
7043,20.6781,17.1658,
7103,20.7094,17.1881,
7163,20.6322,17.936,
7224,20.5074,17.6273,
7284,20.3857,17.9365,
7344,20.373,18.2034,
7404,20.3802,18.2241,
7464,20.4149,18.4245,
7524,20.4603,18.4092,
7585,20.4397,18.551,
7645,20.471,18.2462,
7705,20.4668,18.2111,
7765,20.4729,18.2079,
7825,20.4977,18.0188,
7886,20.4799,17.8524,
7946,20.4737,17.9388,
8006,20.4984,18.2163,
8066,20.5116,17.8616,
8126,20.4862,17.8734,
8187,20.5553,17.7422,
8247,20.4998,17.6257,
8307,20.4962,17.9069,
8367,20.4748,17.8701,
8427,20.4834,17.8468,
8487,20.4887,17.8452,
8548,20.5065,17.6618,
8608,20.4801,17.9713,
8668,20.4697,17.9232,
8728,20.4569,17.7689,
8788,20.5049,17.6491,
8849,20.5068,17.9595,
8909,20.454,18.1554,
8969,20.4664,18.23,
9029,20.4468,18.3302,
9089,20.4269,18.1948,
9149,20.4532,18.0963,
9210,20.4422,18.2753,
9270,20.466,17.8587,
9330,20.4636,17.6219,
9390,20.4847,17.4613,
9450,20.4676,17.8106,
9511,20.4445,17.8885,
9571,20.458,17.8231,
9631,20.4309,17.5483,
9691,20.4412,17.5366,
9751,20.4389,17.7687,
9811,20.4189,17.5878,
9872,20.4277,17.7617,
9932,20.3901,17.9128,
9992,20.3903,17.9461,
10052,20.3852,17.8484,
10112,20.4037,17.794,
10173,20.3667,18.0126,
10233,20.3644,17.9793,
10293,20.377,17.8506,
10353,20.3957,17.7842,
10413,20.4065,18.1205,
10474,20.4247,17.7434,
10534,20.4079,17.6837,
10594,20.3621,17.6481,
10654,20.2551,17.8497,
10714,20.2581,18.3688,
10774,20.2082,18.1241,
10835,20.2284,17.4668,
10895,20.3195,17.4147,
10955,20.343,17.5985,
11015,20.373,17.3488,
11075,20.3939,17.3827,
11136,20.3936,17.387,
11196,20.4592,17.3571,
11256,20.5181,17.2048,
11316,20.5208,17.2341,
11376,20.5347,17.3696,
11436,20.4958,17.2218,
11497,20.3932,17.4206,
11557,20.3708,17.8402,
11617,20.3369,17.9047,
11677,20.3407,17.7223,
11737,20.3607,17.6934,
11798,20.3203,17.9785,
11858,20.3472,17.6631,
11918,20.3586,17.6407,
11978,20.3157,17.9539,
12038,20.3173,17.5503,
12099,20.3115,17.8274,
12159,20.3201,17.6287,
12219,20.2724,17.612,
12279,20.2724,17.9629,
12339,20.2986,17.7533,
12399,20.2547,17.8391,
12460,20.2753,17.7464,
12520,20.2762,17.9322,
12580,20.2879,18.1471,
12640,20.2574,17.7552,
12700,20.2347,17.7696,
12761,20.224,17.7867,
12821,20.2904,17.6163,
12881,20.2871,17.6712,
12941,20.244,17.6907,
13001,20.2341,17.7484,
13061,20.2106,17.6759,
13122,20.1984,17.5534,
13182,20.1866,17.8786,
13242,20.2221,17.7586,
13302,20.2154,17.6928,
13362,20.187,17.5285,
13423,20.1771,17.6291,
13483,20.1872,17.5653,
13543,20.1706,17.8418,
13603,20.1569,17.8767,
13663,20.1464,17.8386,
13723,20.1586,17.8056,
13784,20.1447,17.8448,
13844,20.1588,17.7611,
13904,20.1534,17.7174,
13964,20.1765,17.693,
14024,20.171,17.683,
14085,20.1487,17.6796,
14145,20.1322,17.7397,
14205,20.109,17.7961,
14265,20.0924,17.5796,
14325,20.0901,17.5485,
14386,20.1256,17.3296,
14446,20.1856,17.2914,
14506,20.1675,17.6619,
14566,20.2123,17.288,
14626,20.2291,17.3233,
14686,20.2578,17.1654,
14747,20.274,17.0829,
14807,20.3113,17.2881,
14867,20.2833,17.1736,
14927,20.3043,17.2257,
14987,20.2814,17.1345,
15048,20.3312,17.2735,
15108,20.2831,17.6373,
15168,20.2209,17.6424,
15228,20.2286,17.8495,
15288,20.2085,17.788,
15348,20.1981,17.5226,
15409,20.1916,17.254,
15469,20.1216,17.4177,
15529,20.1019,17.5248,
15589,20.0884,17.9601,
15649,20.1042,17.5403,
15710,20.1164,17.5537,
15770,20.1061,17.7665,
15830,20.0979,17.8646,
15890,20.1355,17.6482,
15950,20.1093,17.5926,
16011,20.0714,17.7619,
16071,20.0954,17.7605,
16131,20.1004,17.6828,
16191,20.0487,17.8752,
16251,20.0542,17.9441,
16311,20.0945,17.6828,
16372,20.0497,17.5613,
16432,20.0689,17.6483,
16492,20.047,17.7369,
16552,20.0388,17.6221,
16612,20.0243,17.5167,
16673,20.0229,17.6465,
16733,19.993,17.8977,
16793,19.9873,17.5424,
16853,19.9852,17.5213,
16913,20.0352,17.3618,
